FID,Status,Score,Match_type,Match_addr,,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Addr_type,StreetID,Distance,X,Y,DisplayX,DisplayY,Xmin,Ymin,Xmax,Ymax,ARC_Street,ARC_City,ARC_State,ARC_ZIP,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
265,M,90.87,A,"1277 Wilcox Ave, Los Angeles, CA, 90038",L,1277,1237,1299, , ,Wilcox,Ave, , ,Los Angeles, ,CA,90038, ,USA,ENG,StreetAddress,6984000016,0,-118.331062,34.094014,-118.331062,34.094014,-118.381062,34.044014,-118.281062,34.144014,1277 N. Wilcox Ave.,Los Angeles, ,90038,431-018250,PSH,Housing Works,Home First,C,0,SMF,Individual,NA,NA,Yes,0.66,1277 N. Wilcox Ave., ,Los Angeles,90038,62118,Mary Kichen,Executive Director,(323) 222-2774,mkirchen@housingworksca.org,SPA 4,SD 3,CD 4,190800,38, ,25, , 
266,M,100,A,"1934 Allesandro St, Los Angeles, CA, 90039",R,1934,1932,1942, , ,Allesandro,St, , ,Los Angeles, ,CA,90039, ,USA,ENG,StreetAddress,6984000042,0,-118.258343,34.090749,-118.258343,34.090749,-118.308343,34.040749,-118.208343,34.140749,1934 Allesandro St.,Los Angeles, ,90039,263-005714,PSH,Hollywood Community Housing Corporation,Allesandro Apartments,C,0,SMF,Individual,HIV, ,No,1,1934 Allesandro St., ,Los Angeles,90039,62118,Consuelo Lopez,Program Manager,(323) 454-6207,clopez@hollywoodhousing.org,SPA 4,SD 1,CD 13,197410,23, ,23, , 
267,M,100,A,"825 Colorado Blvd, Los Angeles, CA, 90041",L,825,843,801, , ,Colorado,Blvd, , ,Los Angeles, ,CA,90041, ,USA,ENG,StreetAddress,6984000031,0,-118.183601,34.140534,-118.183601,34.140534,-118.233601,34.090534,-118.133601,34.190534,825 COLORADO BLVD,Los Angeles, ,90041,110-009610,PSH,The Serra Project,HOPWA - CHOISS Program SSML,C,0,SMF+HC,Family,HIV, ,Yes,0.95,825 COLORADO BLVD, ,Los Angeles,90041,62118,Erik Enriquez,CHOISS Program Manager,(323) 344-4861,eenriquez@alliancehh.org,SPA 4,SD 1,CD 14,181000,41, ,39, , 
268,M,100,A,"825 Colorado Blvd, Los Angeles, CA, 90041",L,825,843,801, , ,Colorado,Blvd, , ,Los Angeles, ,CA,90041, ,USA,ENG,StreetAddress,6984000031,0,-118.183601,34.140534,-118.183601,34.140534,-118.233601,34.090534,-118.133601,34.190534,825 COLORADO BLVD,Los Angeles, ,90041,110-009609,PSH,The Serra Project,CHOISS SPA 3,C,0,SMF+HC,Family,HIV, ,Yes,0.94,825 COLORADO BLVD, ,Los Angeles,90041,62118,Erik Enriquez,CHOISS Program Manager,(323) 344-4861,eenriquez@alliancehh.org,0,SD 1,CD 14,181000,31, ,29, , 
269,M,100,A,"2501 W Florence Ave, Los Angeles, CA, 90043",R,2501,2501,2599,W, ,Florence,Ave, , ,Los Angeles, ,CA,90043, ,USA,ENG,StreetAddress,6984000017,0,-118.320679,33.974636,-118.320679,33.974636,-118.370679,33.924636,-118.270679,34.024636,2501 W. Florence Avenue,Los Angeles, ,90043,223-002300,TH,California Council For Veteran Affairs,GPD - Women and Children First,C,0,SFHC,Family,NA,NA,Yes,0.56,2501 W. Florence Avenue, ,Los Angeles,90043,62118,Margaret Bush Ware,Executive Director,(323) 299-9273,mbushware@hotmail.com,SPA 6,SD 2,CD 8,235201,16, ,9, ,Veterans
270,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.291738,33.945615,0,0,0,0,0,0,CONFIDENTIAL,LOS ANGELES, ,90044,034-009652,TH,"Shields For Families, Inc.",Saraii Village,C,0,SFHC,Family,NA,Substance Abusers,Yes,0.47,Confidential, ,Los Angeles,90044,62118,Brenda Perez,Housing Case Manager,(323) 242-5000,bperez@shieldsforfamilies.org,SPA 6,SD 2,CD 8,237600,60, ,28, , 
271,M,100,A,"6810 S Hoover St, Los Angeles, CA, 90044",L,6810,6800,6898,S, ,Hoover,St, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000017,0,-118.287004,33.978115,-118.287004,33.978115,-118.337004,33.928115,-118.237004,34.028115,6810 S HOOVER ST,Los Angeles, ,90044,037-010003,PSH,South Central Health & Rehabilitation Program,Hoover House,C,0,SMF,Individual,NA,Chronically Homeless,Yes,0.17,6810 S HOOVER ST, ,Los Angeles,90044,62118,Julie Elder,Contract Specialist,(310) 631-8004,skyelder1@earthlink.net,SPA 6,SD 2,CD 8,237600,6, ,1, , 
272,M,100,A,"1345 W 105th St, Los Angeles, CA, 90044",R,1345,1217,1399,W, ,105th,St, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000018,0,-118.299222,33.941296,-118.299222,33.941296,-118.349222,33.891296,-118.249222,33.991296,1345 W 105th St,Los Angeles, ,90044,378-015350,PSH,National Community Renaissance (National CORE),Encanto Court (105th and Normandie),C,0,SMF,Individual,NA,Seniors (Aged 55+),No,1,1345 W 105th St, ,Los Angeles,90044,69037,John Sharkey, ,(909) 483-2444,info@nationalcore.org,SPA 8,SD 2,NA,600202,6, ,6, , 
273,M,100,A,"11502 S Vermont Ave, Los Angeles, CA, 90044",L,11502,11500,11514,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000045,0,-118.291513,33.929906,-118.291513,33.929906,-118.341513,33.879906,-118.241513,33.979906,11502 S VERMONT AVE,Los Angeles, ,90044,043-011420,RRH,Weingart Center Association,FSC Rapid Re-Housing,N,0,HC,Family,NA,NA,Yes,1,11502 S VERMONT AVE, ,Los Angeles,90044,62118,Kevin Martin,Program Manager,(213) 689-2282,kevinm@weingart.org,SPA 6,SD 2,CD 8,241300,199, ,199, , 
274,M,100,A,"11502 S Vermont Ave, Los Angeles, CA, 90044",L,11502,11500,11514,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000045,0,-118.291513,33.929906,-118.291513,33.929906,-118.341513,33.879906,-118.241513,33.979906,11502 S. Vermont Ave Unit #D,Los Angeles, ,90044,043-011422,ES,Weingart Center Association,FSC Emergency Shelter,N,Facility-based beds,HC,Family,NA,NA,Yes,0.71,11502 S. Vermont Ave Unit #D, ,Los Angeles,90044,62118,Kirk Tyler,Program Manager,(323) 531-7000,0,SPA 6,SD 2,CD 8,241300,198, ,141, , 
275,M,100,A,"6525 S Normandie Ave, Los Angeles, CA, 90044",R,6525,6501,6549,S, ,Normandie,Ave, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000017,0,-118.300338,33.980224,-118.300338,33.980224,-118.350338,33.930224,-118.250338,34.030224,6525 S. Normandie Ave.,Los Angeles, ,90044,092-006510,PSH,Coalition for Responsible Community Development,Community Build,C,0,SMF,Youth,NA,Youth (Emancipated Foster Youth),No,1,6525 S. Normandie Ave., ,Los Angeles,90044,62118,Gayle Wong,Director Assests Mangagment,(213) 473-1606,gwong@ltsc.org,SPA 6,SD 2,CD 8,237400,19, ,19, , 
276,M,100,A,"1126 W Imperial Hwy, Los Angeles, CA, 90044",R,1126,1172,1120,W, ,Imperial,Hwy, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000031,0,-118.294975,33.930898,-118.294975,33.930898,-118.344975,33.880898,-118.244975,33.980898,1126 W Imperial Hwy,Los Angeles, ,90044,415-017351,PSH,"AMCAL Multi-Housing, Inc.",Terracina,N,0,SFHC,Family,NA,NA,No,1,1126 W Imperial Hwy, ,Los Angeles,90044,69037,Matthew Segerdal,Senior Project Manager,(818) 706-0694 x 159,msegerdal@amcalhousing.com,SPA 8,SD 2,NA,602800,26, ,26, , 
277,M,100,A,"2330 Beverly Blvd, Los Angeles, CA, 90057",L,2330,2318,2398, , ,Beverly,Blvd, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.273633,34.068045,-118.273633,34.068045,-118.323633,34.018045,-118.223633,34.118045,2330 Beverly Boulevard,Los Angeles, ,90057,371-014950,OPH,Homeless Health Care Los Angeles,Access To Housing For Health (AHH) - Homeless Section 8 HACLA & HACoLA,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,2330 Beverly Boulevard, ,Los Angeles,90057,62118,Ranta,Gunadi,(626)586-1566,ratna.dewigunadi@hacola.org,SPA 4,SD 1,CD 13,208500,98, ,98, , 
278,M,100,A,"7900 S Western Ave, Los Angeles, CA, 90047",R,7900,7998,7900,S, ,Western,Ave, , ,Los Angeles, ,CA,90047, ,USA,ENG,StreetAddress,6984000042,0,-118.308935,33.967268,-118.308935,33.967268,-118.358935,33.917268,-118.258935,34.017268,7900 S WESTERN AVE,Los Angeles, ,90047,083-011288,ES,Volunteers of America of Los Angeles,Winter Shelter - Bethel,N,Facility-based beds,SMF,Individual,NA,NA,Yes,0.83,7900 S WESTERN AVE, ,Los Angeles,90047,62118,Johnny Glanton,Program Manager,(310) 204-0690,jglanton@voala.org,SPA 6,SD 2,CD 8,238100,150, ,125, , 
279,M,100,A,"6701 S Western Ave, Los Angeles, CA, 90047",L,6701,6799,6701,S, ,Western,Ave, , ,Los Angeles, ,CA,90047, ,USA,ENG,StreetAddress,6984000017,0,-118.309018,33.978481,-118.309018,33.978481,-118.359018,33.928481,-118.259018,34.028481,6701 S WESTERN AVE,Los Angeles, ,90047,101-010655,ES,Testimonial Community Love Center,Winter Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,Yes,1,6701 S WESTERN AVE, ,Los Angeles,90047,62118,Cynthia Carter,Project Director,(323) 291-6753,cindytclc@aol.com,SPA 6,SD 2,CD 9,229410,50, ,50, , 
280,M,100,A,"520 S La Fayette Park Pl, Los Angeles, CA, 90057",L,520,300,598,S, ,La Fayette Park,Pl, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000032,0,-118.282331,34.064259,-118.282331,34.064259,-118.332331,34.014259,-118.232331,34.114259,520 S. La Fayette Park Pl.,Los Angeles, ,90057,210-001651,PSH,Asian Pacific Counseling and Treatment Center,Asian Pacific Counseling and Treatment Center,C,0,SMF+HC,Family,NA, ,No,0,520 S. La Fayette Park Pl., ,Los Angeles,90057,62118,#N/A,#N/A,#N/A,#N/A,SPA 4,SD 2,CD 1,208710,22, ,0, , 
281,M,100,A,"2330 Beverly Blvd, Los Angeles, CA, 90057",L,2330,2318,2398, , ,Beverly,Blvd, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.273633,34.068045,-118.273633,34.068045,-118.323633,34.018045,-118.223633,34.118045,2330 Beverly Boulevard,Los Angeles, ,90057,059-005753,PSH,Homeless Health Care Los Angeles,Housing for Health,C,0,SMF+HC,Family,NA, ,Yes,0.83,2330 Beverly Boulevard, ,Los Angeles,90057,62118,Ranta,Gunadi,(626)586-1565,ratna.dewigunadi@hacola.org,SPA 4,SD 1,CD 13,208500,126, ,105, , 
282,M,90.87,A,"937 N Fairfax Ave, West Hollywood, CA, 90046",L,937,901,999,N, ,Fairfax,Ave, , ,West Hollywood, ,CA,90046, ,USA,ENG,StreetAddress,6984000016,0,-118.361588,34.087799,-118.361588,34.087799,-118.411588,34.037799,-118.311588,34.137799,937 Fairfax Ave,West Hollywood, ,90046,414-017301,PSH,Affordable Living for the Aging,Janet L. Witkin Center,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,1,937 Fairfax Ave, ,West Hollywood,90046,69037,Rachel Caraviello,VP of Programs,(323) 650-8034,rachel@alaseniorlving.org,SPA 4,SD 3,NA,700200,6, ,6, , 
283,M,100,A,"360 S Westlake Ave, Los Angeles, CA, 90057",L,360,300,398,S, ,Westlake,Ave, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.272051,34.061363,-118.272051,34.061363,-118.322051,34.011363,-118.222051,34.111363,360 S. Westlake Ave.,Los Angeles, ,90057,280-007303,TH,Mary Lind Foundation,"GPD - Mary Lind Foundation Transitional Housing Program - Royal Palms, Bimini and Rena B Recovery Center",C,0,SMF,Individual,NA,Substance Abusers,Yes,1.02,360 S. Westlake Ave., ,Los Angeles,90057,62118,Raneika Brooks,Data Coordinator,(213) 382-4241,rbrooks@marylind.org,SPA 4,SD 1,CD 1,208903,360, ,368, ,Veterans
284,M,100,A,"820 S Burlington Ave, Los Angeles, CA, 90057",L,820,800,898,S, ,Burlington,Ave, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.274642,34.053002,-118.274642,34.053002,-118.324642,34.003002,-118.224642,34.103002,820 S BURLINGTON AVE,Los Angeles, ,90057,369-014850,PSH,"Women Organizing Resources, Knowledge & Services, Inc. (WORKS)",Young Burlington Apartments,C,0,SMF+HC,Youth,NA,Youth (Ages 18-25),Yes,0.85,820 S BURLINGTON AVE, ,Los Angeles,90057,62118,Yoko Sugioka,Program Manger,(323) 341-7028,yoko@worksusa.org,SPA 4,SD 1,CD 1,209403,20, ,17, , 
285,M,100,A,"1920 W 3rd St, Los Angeles, CA, 90057",L,1920,1910,1998,W, ,3rd,St, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000031,0,-118.270869,34.062104,-118.270869,34.062104,-118.320869,34.012104,-118.220869,34.112104,1920 W. 3rd St.,Los Angeles, ,90057,028-006415,PSH,"LAMP Community, Inc.",Stabilization Supportive Housing,C,0,SMF,Individual,NA, ,Yes,1,1920 W. 3rd St., ,Los Angeles,90057,62118,Jose Manriquez,Manager,(213) 488-9559 x 204,josem@lampcommunity.org,SPA 4,SD 1,CD 1,208903,2, ,2, , 
286,M,89.04,A,"1296 N Fairfax Ave, West Hollywood, CA, 90046",R,1296,1226,1298,N, ,Fairfax,Ave, , ,West Hollywood, ,CA,90046, ,USA,ENG,StreetAddress,6984000042,0,-118.361482,34.094347,-118.361482,34.094347,-118.411482,34.044347,-118.311482,34.144347,1296 N Fairfax,West Hollywood, ,90046,177-014510,PSH,PATH Ventures,West Hollywood (no name yet),U,0,SMF,Individual,NA, ,Yes,0,1296 N Fairfax, ,West Hollywood,90046,69037,Jesus Hernandez,Dir. Of Development,(323) 671-1301,jhernandez@pathventures.org,SPA 4,SD 3,NA,700100,30, ,0, , 
287,M,100,A,"10510 S Vermont Ave, Los Angeles, CA, 90044",L,10510,10500,10598,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90044, ,USA,ENG,StreetAddress,6984000016,0,-118.291529,33.940605,-118.291529,33.940605,-118.341529,33.890605,-118.241529,33.990605,10510 S. Vermont Ave.,Los Angeles, ,90044,126-005550,TH,"Higher Goals, Inc.",Transitional Home,C,0,SMF,Individual,HIV,NA,No,0.35,10510 S. Vermont Ave., ,Los Angeles,90044,62118,Patricia Hamilton,Program Manager,(323) 755-9702,pathamilton85@yahoo.com,SPA 6,SD 2,CD 8,241200,20, ,7, , 
288,M,100,A,"2403 W 4th St, Los Angeles, CA, 90057",R,2403,2401,2499,W, ,4th,St, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.27658,34.064,-118.27658,34.064,-118.32658,34.014,-118.22658,34.114,2403 W 4th St,Los Angeles, ,90057,438-018600,PSH,Affordable Housing CDC,Knob Hills Apts,C,0,SMF,Individual,NA,NA,No,1,2403 W 4th St, ,Los Angeles,90057,62118,Joe Stalzer,Executive Director,(949) 429-1250,jstalzer@ahcdc.com,SPA 4,SD 1,CD 1,208800,44, ,44, , 
289,M,100,A,"256 S Occidental Blvd, Los Angeles, CA, 90057",L,256,246,298,S, ,Occidental,Blvd, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000037,0,-118.281756,34.068018,-118.281756,34.068018,-118.331756,34.018018,-118.231756,34.118018,256 S. Occidental Blvd.,Los Angeles, ,90057,145-002702,TH,Center for Human Rights and Constitutional Law,Freedom House - Casa Libre Homeless Youth Shelter,C,0,YM,Youth,NA,Youth (Ages 12-17),Yes,0.5,256 S. Occidental Blvd., ,Los Angeles,90057,62118,Ehecatl Chumacero-Rojas,Program Director,(213) 388-8693,erojas@centerforhumanrights.org,SPA 4,SD 1,CD 1,209401,8, ,4, , 
290,M,100,A,"2600 Wilshire Blvd, Los Angeles, CA, 90057",R,2600,2698,2600, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000015,0,-118.281475,34.060449,-118.281475,34.060449,-118.331475,34.010449,-118.231475,34.110449,2600 WILSHIRE BLVD,Los Angeles, ,90057,374-015102,PSH,US Department of Veterans Affairs,VASH - HACLA,C,0,SMF+HC,Family,NA, ,No,1,2600 WILSHIRE BLVD, ,Los Angeles,90057,62118,Paul Stevenson,Dir of Veteran's Services,(323) 644-2200,pauls@epath.org,SPA 4,SD 2,CD 1,208720,2533, ,2533, ,Veterans
291,M,100,A,"357 S Westlake Ave, Los Angeles, CA, 90057",R,357,301,399,S, ,Westlake,Ave, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.272126,34.06148,-118.272126,34.06148,-118.322126,34.01148,-118.222126,34.11148,357 S. Westlake Ave.,Los Angeles, ,90057,013-002601,ES,"Catholic Charities of Los Angeles, Inc.",Angel's Flight Shelter,C,Facility-based beds,YMF,Youth,NA,NA,Yes,0.38,357 S. Westlake Ave., ,Los Angeles,90057,62118,Patricia Chaidez,Interim Program Director,(213) 413-2311, ,SPA 4,SD 1,CD 1,208903,16, ,6, , 
292,M,100,A,"811 S Carondelet St, Los Angeles, CA, 90057",R,811,801,899,S, ,Carondelet,St, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000024,0,-118.282253,34.056593,-118.282253,34.056593,-118.332253,34.006593,-118.232253,34.106593,811 S CARONDELET ST,Los Angeles, ,90057,036-009837,PSH,Skid Row Housing Trust,The Six Apartments,U,0,SMF,Individual,NA, ,Yes,0,811 S CARONDELET ST, ,Los Angeles,90057,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 1,209401,50, ,0, , 
293,M,92.5,A,"1325 N Western Ave, Los Angeles, CA, 90027",L,1325,1301,1331,N, ,Western,Ave, , ,Los Angeles, ,CA,90027, ,USA,ENG,StreetAddress,6984000016,0,-118.309281,34.095413,-118.309281,34.095413,-118.359281,34.045413,-118.259281,34.145413,1325 N. Western Ave.,Los Angeles, ,90038,018-003810,ES,Covenant House of California,Year Round Overnight Emergency Shelter,C,Facility-based beds,SMF,Youth,NA,Youth (Ages 18-25),No,0.9,1325 N. Western Ave., ,Los Angeles,90038,62118,Tanisha Bundy,Outreach Coordinator,(323) 461-3131,tbundy@covca.org,SPA 4,SD 3,CD 13,190901,10, ,9, , 
294,M,100,A,"1117 E 108th St, Los Angeles, CA, 90059",L,1117,1043,1153,E, ,108th,St, , ,Los Angeles, ,CA,90059, ,USA,ENG,StreetAddress,6984000042,0,-118.255192,33.93833,-118.255192,33.93833,-118.305192,33.88833,-118.205192,33.98833,1117 E 108TH ST,Los Angeles, ,90059,416-017400,ES,The Restoration Foundation,Restoration House,C,Facility-based beds,SMF,Individual,NA,Chronically Homeless,No,0.7,1117 E 108TH ST, ,Los Angeles,90059,62118,Mildred Benson,Pastor,(323) 842-5673,restorationfdn@aol.com,SPA 6,SD 2,CD 8,240800,50, ,35, , 
295,M,100,A,"116 W 111th St, Los Angeles, CA, 90061",L,116,112,198,W, ,111th,St, , ,Los Angeles, ,CA,90061, ,USA,ENG,StreetAddress,6984000017,0,-118.274586,33.934736,-118.274586,33.934736,-118.324586,33.884736,-118.224586,33.984736,116 West  111th Street,Los Angeles, ,90061,058-005650,PSH,His Sheltering Arms,The Pearl Center,C,0,SF,Individual,NA,Seniors (Aged 55+),Yes,0.42,116 West  111th Street, ,Los Angeles,90061,62118,Rhoen Moore,Executive Director,(323) 755-6646,rmoore@hisshelteringarms.org,SPA 6,SD 2,CD 8,241120,12, ,5, , 
296,M,99.2,A,"130 S La Fayette Park Pl, Los Angeles, CA, 90057",L,130,100,198,S, ,La Fayette Park,Pl, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.278717,34.069904,-118.278717,34.069904,-118.328717,34.019904,-118.228717,34.119904,130 S. Lafayette Park Pl.,Los Angeles, ,90057,011-001121,PSH,A Community of Friends,Vista Nueva Apartments,C,0,HC,Family,NA,Mentally Ill,Yes,0.77,130 S. Lafayette Park Pl., ,Los Angeles,90057,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 13,208620,102, ,79, , 
297,M,100,A,"208 S Bonnie Brae St, Los Angeles, CA, 90057",L,208,140,248,S, ,Bonnie Brae,St, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.26899,34.063571,-118.26899,34.063571,-118.31899,34.013571,-118.21899,34.113571,208 S. Bonnie Brae St.,Los Angeles, ,90057,177-014502,PSH,Affordable Living for the Aging,Bonnie Brae,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,1,208 S. Bonnie Brae St., ,Los Angeles,90057,62118,Debbie Woodward, ,(213) 261-3858,deborah@alaseniorliving.org,SPA 4,SD 1,CD 13,208400,45, ,45, , 
298,M,100,A,"5721 S Western Ave, Los Angeles, CA, 90062",L,5721,5799,5711,S, ,Western,Ave, , ,Los Angeles, ,CA,90062, ,USA,ENG,StreetAddress,6984000017,0,-118.308996,33.99048,-118.308996,33.99048,-118.358996,33.94048,-118.258996,34.04048,5721 S WESTERN AVE,Los Angeles, ,90062,101-010652,TH,Testimonial Community Love Center,Transitional Housing Program,C,0,HC,Family,NA,NA,No,0.83,5721 S WESTERN AVE, ,Los Angeles,90062,62118,Cynthia Carter,Project Director,(323) 291-6753,cindytclc@aol.com,SPA 6,SD 2,CD 8,232500,30, ,25, , 
299,M,100,A,"541 W El Segundo Blvd, Los Angeles, CA, 90061",R,541,501,591,W, ,El Segundo,Blvd, , ,Los Angeles, ,CA,90061, ,USA,ENG,StreetAddress,6984000024,0,-118.283529,33.916476,-118.283529,33.916476,-118.333529,33.866476,-118.233529,33.966476,541 W El Segundo Blvd,Los Angeles, ,90061,444-018902,PSH,Meta Housing Corp,127th St Apartments,U,0,SMF,Individual,NA, ,Yes,0,541 W El Segundo Blvd, ,Los Angeles,90061,62118,#N/A,#N/A,#N/A,#N/A,SPA 8,SD 2,CD 15,291110,40, ,0, , 
300,M,100,A,"11152 S Main St, Los Angeles, CA, 90061",L,11152,11130,11198,S, ,Main,St, , ,Los Angeles, ,CA,90061, ,USA,ENG,StreetAddress,6984000042,0,-118.273814,33.933616,-118.273814,33.933616,-118.323814,33.883616,-118.223814,33.983616,11152 S Main St,Los Angeles, ,90061,146-007803,ES,MJB Recovery,14 Hour Year Round Emergency Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,No,1,11152 S Main St, ,Los Angeles,90061,62118,Darrell Nelms,Executive Director,(323) 777-2491,mjbrecovery@aol.com,SPA 6,SD 2,CD 8,241120,30, ,30, , 
301,M,90.87,A,"409 S Burlington Ave, Los Angeles, CA, 90057",R,409,401,421,S, ,Burlington,Ave, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000016,0,-118.269751,34.060139,-118.269751,34.060139,-118.319751,34.010139,-118.219751,34.110139,409-415 S Burlington Ave,Los Angeles, ,90057,234-003404,PSH,Clifford Beers Housing,Burlington Family Apartments,C,0,SMF+HC,Family,NA, ,Yes,1,409-415 S Burlington Ave, ,Los Angeles,90057,62118,#N/A,#N/A,#N/A,#N/A,SPA 4,SD 1,CD 1,208904,92, ,92, , 
302,M,100,A,"13224 Avalon Blvd, Los Angeles, CA, 90061",L,13224,13200,13498, , ,Avalon,Blvd, , ,Los Angeles, ,CA,90061, ,USA,ENG,StreetAddress,6984000003,0,-118.265223,33.912392,-118.265223,33.912392,-118.315223,33.862392,-118.215223,33.962392,13224 Avalon Boulevard,Los Angeles, ,90061,011-001138,PSH,A Community of Friends,Avalon Apartments,N,0,SMF+HC,Family,NA,Multi-Diagnosed,No,0.86,13224 Avalon Boulevard, ,Los Angeles,90061,69037,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,NA,540800,111, ,95, , 
303,M,89.04,A,"628 S Alvarado St, Los Angeles, CA, 90057",L,628,600,648,S, ,Alvarado,St, , ,Los Angeles, ,CA,90057, ,USA,ENG,StreetAddress,6984000017,0,-118.275391,34.058585,-118.275391,34.058585,-118.325391,34.008585,-118.225391,34.108585,628 S. Alvarado Blvd.,Los Angeles, ,90057,277-007050,PSH,Affordable Living for the Aging,Parkview on the Park Apartments,C,0,SMF,Individual,NA,Seniors (Aged 62+),No,0.82,628 S. Alvarado Blvd., ,Los Angeles,90057,62118,Charles Kim, ,(213) 629-9172,ckim@lahousingpartnership.com,SPA 4,SD 1,CD 1,208903,40, ,33, , 
304,M,100,A,"3941 Rockwood St, Los Angeles, CA, 90063",L,3941,3901,3999, , ,Rockwood,St, , ,Los Angeles, ,CA,90063, ,USA,ENG,StreetAddress,6984000016,0,-118.180614,34.047482,-118.180614,34.047482,-118.230614,33.997482,-118.130614,34.097482,3941 Rockwood St.,Los Angeles, ,90063,078-006307,PSH,"Jovenes, Inc.",My Home - Mi Casa,N,0,SMF,Youth,NA, ,No,0.11,3941 Rockwood St., ,Los Angeles,90063,69037,Andrea Marchetti,Executive Director,(323) 260-8029,Amarchetti@jovenesinc.org,SPA 7,SD 1,NA,530902,9, ,1, , 
305,M,100,A,"1724 W Vernon Ave, Los Angeles, CA, 90062",L,1724,1710,1798,W, ,Vernon,Ave, , ,Los Angeles, ,CA,90062, ,USA,ENG,StreetAddress,6984000017,0,-118.30985,34.003672,-118.30985,34.003672,-118.35985,33.953672,-118.25985,34.053672,1724 W VERNON AVE,Los Angeles, ,90062,111-111800,ES,Volunteers of America of Los Angeles,14-Hour YRP South LA,U,Facility-based beds,SMF,Individual,NA, ,Yes,0,1724 W VERNON AVE, ,Los Angeles,90062,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 6,SD 2,CD 8,232400,110, ,0, , 
306,M,100,A,"3885 S Western Ave, Los Angeles, CA, 90062",L,3885,3899,3867,S, ,Western,Ave, , ,Los Angeles, ,CA,90062, ,USA,ENG,StreetAddress,6984000017,0,-118.308971,34.015025,-118.308971,34.015025,-118.358971,33.965025,-118.258971,34.065025,3885 S. Western Ave.,Los Angeles, ,90062,011-001100,PSH,A Community of Friends,39 West Apartments,C,0,SMF,Individual,NA,Multi-Diagnosed,Yes,0.97,3885 S. Western Ave., ,Los Angeles,90062,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,231400,33, ,32, , 
307,M,100,A,"3837 S Western Ave, Los Angeles, CA, 90062",L,3837,3865,3837,S, ,Western,Ave, , ,Los Angeles, ,CA,90062, ,USA,ENG,StreetAddress,6984000017,0,-118.308969,34.016418,-118.308969,34.016418,-118.358969,33.966418,-118.258969,34.066418,3837 S. Western Ave.,Los Angeles, ,90062,011-001117,PSH,A Community of Friends,Santos Plaza,C,0,SMF,Individual,NA,Mentally Ill,Yes,1,3837 S. Western Ave., ,Los Angeles,90062,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,231400,36, ,36, , 
